Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE
593aaa05-d864-1df7-5b96-155fbdb19f28,2021-08-22,,999-75-6624,,,,Jorge Luis88,Vela532,,,,white,hispanic,M,Lima  Lima Province  PE,568 Hills Branch Unit 86,Visalia,California,Tulare County,93291,36.41989374333241,-119.41106704250097,2191.712,3642.528
ac71ad72-4172-803c-4e82-448f043d8db3,2009-09-20,,999-16-9876,,,,Maude482,Wunsch504,,,,asian,nonhispanic,F,Castro Valley  California  US,418 Olson Landing Apt 2,Long Beach,California,Los Angeles County,90804,33.81058949611552,-118.20677796635957,313657.15,3652.5600000000004
fe48ece5-e039-c6a3-1f11-2184325413e4,2005-02-13,,999-28-9417,S99960650,,,Dominique369,Yundt842,,,,black,nonhispanic,M,Los Angeles  California  US,978 Bradtke Extension Suite 66,Fairfield,California,Solano County,95687,38.199545256456545,-121.8995060864146,693595.335,159.55499999999995
7f52d5bf-6da4-d1ae-cc9c-23d002910443,2001-11-12,,999-14-6384,S99999036,X61177311X,Ms.,Loida499,Howell947,,,,other,nonhispanic,F,Fallbrook  California  US,535 Hilpert Road,Tustin,California,Orange County,92782,33.792402476685965,-117.88567505853548,512639.5200000001,8057.7
55b3b070-62aa-b744-e646-722ebe798d57,1971-09-01,,999-23-8972,S99986729,X57222010X,Mrs.,Yasmine182,Hahn503,,Larson43,M,white,nonhispanic,F,Rancho Cucamonga  California  US,113 Donnelly Neck,Anaheim,California,Orange County,92887,33.849420492185615,-117.74458665494284,2224438.1714999997,145618.32850000003
ef3b60ab-e7fc-9eee-4321-0638d1ae4e8a,2000-03-18,,999-24-3501,S99981008,X9253081X,Ms.,Shelly431,Shields502,,,,white,nonhispanic,F,San Diego Country Estates  California  US,878 Cruickshank Plaza,Mountain View,California,Santa Clara County,94043,37.39640378918077,-122.1106723326179,561461.7375,6502.2525
8a60afd2-aa03-d75c-c7f4-e01c3297825d,1973-11-24,,999-70-9703,S99975103,X1694450X,Mrs.,Elodia940,Volkman526,,Kautzer186,M,white,nonhispanic,F,Twain Harte  California  US,167 Kilback Course,Santa Clarita,California,Los Angeles County,91355,34.434707727343955,-118.48741698392463,1651503.3655,388597.83450000006
c0e63111-3031-784e-a3aa-951d1827e5a5,1993-09-04,,999-39-5924,S99912574,X85237630X,Mr.,Prince887,Reynolds644,,,M,white,hispanic,M,San Jose  California  US,534 Konopelski Run,El Sobrante,California,Riverside County,94803,37.93410138495609,-122.31369906228466,779216.6575000001,2045.9025
398f88ac-b44c-b452-6231-8f5cd90fd16a,2016-04-07,,999-23-7565,,,,Rossana121,Thiel172,,,,white,nonhispanic,F,Temecula  California  US,306 Lueilwitz Estate Apt 18,Los Angeles,California,Los Angeles County,91406,34.10939932758828,-118.43304026968278,80053.1,0.0
4f1a1eee-31c0-887b-e1ea-df6a5c502538,1999-11-27,,999-26-4549,S99987104,X22326986X,Mr.,Jerónimo599,Ruelas156,,,,white,hispanic,M,Bayamon  Puerto Rico  PR,206 Lakin Club,Hacienda Heights,California,Los Angeles County,91745,34.001341138642736,-117.98411572695893,1406038.7725000002,175817.22749999998
da800be1-37a5-bd03-c6be-64bdcb832bdc,2016-06-17,,999-34-9419,,,,Rashad361,Thiel172,,,,white,nonhispanic,M,San Diego  California  US,679 Medhurst Lane,Goleta,California,Santa Barbara County,93111,34.51519620272158,-120.05478662408765,151410.52000000002,135.41999999999996
186aba1d-da24-7c1f-0761-3d5bcbc0c852,1946-04-19,2015-10-23,999-75-8692,S99970359,X70341710X,Mr.,Kennith515,Rohan584,,,M,white,nonhispanic,M,Arden-Arcade  California  US,606 Leannon Dale Suite 31,Martinez,California,Contra Costa County,94523,37.9254158899655,-122.13034259450265,1737189.8000000005,48893.729999999996
6761ab26-73e9-ad0b-cec4-56c6edd74762,1985-11-20,,999-64-6068,S99946327,X66968093X,Mr.,Fred155,Grimes165,,,M,white,nonhispanic,M,Walnut Park  California  US,894 Johnson Viaduct Unit 66,San Diego,California,San Diego County,92145,32.740586326130604,-117.23568333473644,1824707.9000000001,38981.88
7967cd3c-2310-059a-fed1-e7cba7966843,1994-12-25,,999-22-5287,S99948150,X35863750X,Mrs.,Carlie972,Muller251,,Beatty507,M,white,hispanic,F,Long Beach  California  US,992 Miller Common,Greenfield,California,Monterey County,93927,36.334478259891405,-121.28029365063618,1233563.0255,209116.27450000006
23545e22-812d-e9c1-7155-318a1992021f,1955-08-01,,999-59-6434,S99936697,X45850288X,Ms.,Elvia127,Feil794,,,S,asian,nonhispanic,F,Incheon  Incheon  KR,1048 Emmerich Dale,San Diego,California,San Diego County,91945,32.72799822920461,-117.08420491132539,1241705.672,805549.1180000002
147204fd-51eb-7e98-56bd-609556919b9d,1976-06-09,,999-29-8189,S99947144,X45866730X,Mrs.,Laquanda221,Kilback373,,Daniel959,M,white,nonhispanic,F,Antelope  California  US,706 Emmerich Mill Apt 76,Chula Vista,California,San Diego County,91911,32.63317088447668,-117.05030898177284,1455919.5140000002,240279.516
0a3c7c37-6a95-bd71-7332-eba1e0dfd56c,2004-06-24,,999-63-3492,S99981003,,,Theron432,Herman763,,,,white,nonhispanic,M,Madera  California  US,935 Bogan Spur,Mountain View,California,Santa Clara County,94040,38.027293056107055,-122.12264850926128,65965.49749999997,203974.45250000068
